type,keyword,مثال,مشابهات,sole keyword pattern
length,طول,,,
length,طولانی,جاده طولانی | مسیر طولانی,,
length,عرض,,,
length,عمق,,,1
length,ارتفاع,,,1
length,ضخامت,,,
length,ضلع,مثلثی به ضلع 3,,
length,شعاع,,,
length,قطر,,,
length,قاعده,,,
length,ابعاد,مکعبی به ابعاد 3 در 2 در 1,,
length,فاصله,,,
length,مسافت,,,
length,دور,ستارگان از ما دور هستند,,
length,نزدیک,,,
length,اندازه,,,
length,وسعت,,,
length,دراز,,,
length,بلند,,,
length,کوتاه,,,
length,بزرگ,,,
length,کوچک,,,
length,قد,,,
length,قامت,,,
length,کران,,,
length,محیط,,,
length,دور,دور بازوی او زیاد است,,
length,دور تا دور,,,
length,موقعیت,,,
length,مکان,,,
volume,حجم,,,
volume,بزرگ,,,
volume,کوچک,,,
volume,زیاد,,,
volume,کم,,,
volume,ظرفیت,,,
volume,گنجایش,,,
volume,فضا,آن جعبه فضای زیادی اشغال می‌کند,,
volume,اندازه,,,
speed,جا,,,
speed,سرعت,,,
speed,سریع,,,
speed,تند,,,
speed,تندرو,,,
speed,تیز,,,
speed,فرز,,,
speed,به چابکی,,,
speed,به چالاکی,,,
speed,کند,,,
speed,آهسته,,,
speed,آرام,,,
speed,یواش,,,
speed,حرکت,,,
speed,جنبش,,,
speed,ساکن,,,
speed,ثابت,,,
speed,ایستاده,,,
speed,متوقف,,,
power,توان,,,
power,مصرف,,,
power,مصرف انرژی,,,
power,نرخ مصرف,,,
density,چگالی,,,
density,چگال,,,
density,وزن مخصوص,,,
density,جرم حجمی,,,
density,سنگین,سرب یک فلز سنگین است | سرب سنگین تر از چوب است,,
acceleration,شتاب,,,
acceleration,شتابدار,,,
acceleration,تند شونده,,,
acceleration,کند شونده,,,
acceleration,افزایش سرعت,,,
acceleration,کاهش سرعت,,,
acceleration,تغییر سرعت,,,
acceleration,میرا,,,
acceleration,ترمز,,,
data-storage,حجم,,,
data-storage,اندازه,,,
data-storage,بزرگ,,,
data-storage,کوچک,,,
data-storage,حافظه,,,
mass,وزن,,,
mass,سنگینی,وزنه‌ای به سنگینی یک فیل را بلند کرد.,,
mass,سنگین,بسته سنگین بود.,,
mass,سبکی,چیزی به سبکی پر در هوا معلق بود.,,
mass,سبک,بسته سبک بود.,,
mass,ترازو,ترازو روی عدد 2 ایستاد.,,
mass,جرم,جسمی با جرم بالا سقوط کرد. | جسمی به جرم دو کیلوگرم سقوط کرد.,,
temperature,دما,,,
temperature,دمای,,,
temperature,داغ,آب داغ بود.,,
temperature,سرد,آب سرد بود.,,
temperature,یخ,آب یخ بود.,,
temperature,داغی,پیشانیش داغی بیش از اندازه‌ای داشت.,,
temperature,سردی,دست‌هایش سردی بیش از حدی داشت.,,
temperature,تب,تب چهل درجه داشت.,,
temperature,گرم,هوا گرم بود.,,
temperature,سرد,هوا سرد بود.,,
temperature,گرم,گرما/گرمی هوا غیرقابل تحمل است.,,
temperature,گرمی,,,
temperature,سرما,سرما/سردی هوا غیرقابل تحمل است.,,
temperature,سردی,,,
temperature,حرارت,نان حرارت دلپذیری داشت.,,
temperature,برودت,مدرسه به دلیل برودت هوا تعطیل شد.,,
temperature,نقطه‌ی ذوب,نقطه‌ی ذوب|انجماد|جوش این مایع پایین است.,,
temperature,نقطه‌‌ی انجماد,,,
temperature,نقطه‌ی جوش,,,
temperature,خنک,خنک بنوشید. :)),,
temperature,خنکا,خنکی نوشابه سر حالش آورد.,,
force,خنکی,,,
force,نیرو,,,
force,نیروی,,,
force,هل,با قدرت هلش داد.,,
force,نیروی گرانشی,,,
force,نیروی اصطکاک,,,
force,نیروی عمود بر سطح,,,
force,نیروی مقاومت هوا,,,
force,نیروی الکترومغناطیسی,,,
force,نیروی کشسانی,,,
force,نیروی الکتریکی,,,
force,کشیدن,با قدرت آن را کشید.,,
torque,گشتاور,,,
torque,تعادل,شرایط تعادل گشتاوری برقرار است. | تعادل چرخشی برقرار است.,,
torque,ساعتگرد,,,
torque,پادساعتگرد,,,
torque,تکانه‌ی زاویه‌ای,معادل گشتاور زاویه ای,,
torque,گشتاور پویا,,,
torque,گشتاور داینامیک,,,
torque,گشتاور ایستا,,,
torque,گشتاور استاتیک,,,
torque,نیروی چرخشی,معادل گشتاور نیرو,,
torque,ممان نیرو,معادل گشتاور نیرو,,
frequency,فرکانس,,,
frequency,بسامد,,,
frequency,فرکانس زاویه‌ای,,,
frequency,فرکانس فضایی,,,
frequency,فرکانس مکانی,,,
frequency,فرکانس طبیعی,,,
frequency,عکس دوره تناوب,,,
frequency,نرخ نوسان,,,
frequency,تعداد تناوب,,,
debi,دبی,,,
debi,شارش جرمی,,,
debi,دبی جرمی,,,
debi,بده جرم,,,
debi,آهنگ شارش جرم,,,
debi,نرخ شارش جرم,,,
data-transfer,انتقال داده,,,
data-transfer,سرعت اینترنت,,,
data-transfer,سرعت نت,,,
data-transfer,سریع,,,
data-transfer,کندی,,,
data-transfer,کند,,,
data-transfer,ضعیف,اینترنت ضعیفه.,,
data-transfer,قوی,,,
pressure,فشار,,,
pressure,متراکم سازی,,,
pressure,فشردگی,,,
pressure,ضربه,,,
pressure,ازدحام,,,
pressure,ضربه,,,
pressure,سینگینی,فشار زندگی سنگین است,,
pressure,سبکی,,,
pressure,هل,,,
area,مساحت,,,
area,سطح,,,
area,پهنه,,,
area,گستردگی,,,
area,گستره,,,
area,پهنا,,,
area,متراژ,,,
energy,انرژی,,,
energy,توان,,,
energy,نیرو,,,
energy,قدرت,,,
energy,پرکاری,,,
energy,کم کاری,,,
time,زمان,,,
time,دوران,,,
time,روزگار,,,
time,زمانه,,,
time,دوره,,,
time,عصر,,,
time,عهد,,,
time,فصل,,,
time,موسم,,,
time,نوبت,,,
time,هنگام,,,
time,فرصت,,,
time,مجال,,,
time,وقت,,,
time,مدت,,,
time,موعد,,,
time,ساعت,,,
time,دقیقه,,,
time,ثانیه,,,
time,دم,,,
time,لحظه,,,
time,موقع,,,
time,مبدا زمان,,,
degree,درجه,,,
degree,زاویه,,,
degree,کنج,,,
degree,گوشه,,,
degree,گرادیان,,,
debi-v,شارش حجمی,,,
debi-v,دبی حجمی,,,
debi-v,آهنگ شارش حجمی,,,
debi-v,نرخ شارش حجمی,,,
wildcard,مقدار,,,